title,link,intro,objective,outline
Project Management Appreciation,https://www.ntu.edu.sg/pace/programmes/detail/project-management-appreciation,Introduction Today's competitive business world requires that successful people deliver results not only on time but also within other restrictions such as manpower and budget constraints To be able to achieve this a person has to work well with his project team members and manage conflicts that may arise from time to time To handle a project effectively becomes an essential skill for everyone This appreciation program will provide you with an overall understanding of what constitutes a project It then discusses the processes tools and techniques necessary to handle complex activities and tasks From starting a project to motivating a team from the hard and soft skills that are required from overcoming problems to successful project conclusion all major aspects of professional project management are discussed so that you can be assured of optimum results every time,At the end of this programme participants will be able to 1 Define what is a project 2 Develop realistic and measurable objectives and goals to meet stakeholders needs and project results 3 Establish project time and costs resources using proven techniques 4 Prioritize tasks based on urgency and importance 5 Monitor and supervise the execution of tasks,1 Introduction 2 The Message 3 What Is Project Management Phases of a project life The Godzilla Principle Triple constraints of a project 4 Defining the Problem 5 Project Definition Defining the problem Mission vision Project objective Terms of reference Project sponsor 6 Planning The Project Why planning is indispensable Project pain curves Ingredients of a plan Changing the plan Effective planning Project risk management 7 Case Study on Common Mistakes in Project Management 8 Work Breakdown Structure Levels Characteristics WBS in a matrix organization Milestone plan Guidelines for estimating 9 Camping Trip 10 Hazards of Estimating 11 Gantt Chart 12 Network techniques Network diagrams Comparison of AON and AOA Critical path CPM PERT 13 Critical Path Analysis Start and finish activities Forward and backward passes Slack or float Critical path 14 Assigning Resource and Cash Flow Projection 15 Project Control Evaluation Types of control Team member self control Project review Characteristics of control system Purposes of evaluation Project deviation 16 Western Power 17 Earned Value Analysis Project schedules Spending curve Types of costs
SC1003 Introduction to Computational Thinking and Programming,https://www.ntu.edu.sg/pace/programmes/detail/cz1103-introduction-to-computational-thinking,Introduction Computational thinking (CT) is a problem solving process with the aid of computer i e formulating a problem and expressing its solution in such a way that a computer can effectively carry it out It includes a number of characteristics such as breaking a problem into small and repetitive ordered steps logically ordering and analyzing data and creating solutions that can be effectively implemented as algorithms running on computer As such computational thinking is essential not only to the Computer Science discipline it can also be used to support problem solving across all disciplines including math science engineering business finance and humanities This course is credit bearing and stack able to Specialist Certificate in Foundations of Computer Science,The aim of this course is hence to take students with no prior experience of thinking in a computational manner to a point where they can derive simple algorithms and code the programs to solve some basic problems in their domain of studies In addition the course will include topics to appreciate the internal operations of a processor and raise awareness of the socio ethical issues arising from the pervasive ness of computing technology,"Course Overview and Concepts of Computational Thinking Solving complex problem using computer enables the student to work out exactly what to tell the computer to do Overview of Programming Languages Graphic programming high level programming languages Python C, Java R, Mat lab Basic internal operation of computer Basic computer organization Processor Memory I/O) and how a computer execute a program Machine instructions Basic program structure control constructs and data types Concepts of data types variables P seu de code and flowchart s Sequences Selection if else iteration for while loop CT concept Abstraction Problem formulation reducing something to a very simple set of characteristics to only focusing on the most relevant to the problem Concept of functions libraries and data structure CT concept Decomposition Break a complex problem into smaller and more manageable parts steps such that each of these smaller problems can then be looked at individually CT concept Pattern recognition Looking for similarities among and within problems which also enable reuse knowledge of previous similar problems CT concept Pattern recognition Looking for similarities among and within problems which also enable reuse knowledge of previous similar problems Limit of computing Analysis of Algorithm Complexity to determine how much resources space and time are needed to execute an Algorithm in order to achieve code optimization Computing Trends Cloud Edge and Fog computing Quantum Computers Social Ethical Issues and Ramifications of Computing Fairness Privacy Sharing Hacking software Piracy Data Protection Cyberbullying and trolling Fake news digital divides IP Copyright"
SC1004 Linear Algebra for Computing,https://www.ntu.edu.sg/pace/programmes/detail/cz1104-linear-algebra-for-computing,Introduction This course aims to support you to learn mathematical concepts related to linear algebra This course is credit bearing and stack able to Specialist Certificate in Foundations of Computer Science,You will develop set of mathematical skills for applications in computer science and engineering e g machine learning computer graphics data science etc,Solve linear equations and determine conditions for existence and uniqueness of a solution Perform matrix operations including inverse of a matrix and matrix factorization Design matrices for linear transformations interpret properties of determinants identify and interpret properties of matrix inverses Identify and interpret vector spaces and subspace s Interpret correctly the concept of inner product orthogonality and orthogonal projections Evaluate least squares solution Interpret evaluate and apply Ei gen Value and Singular value decomposition Write code for applications in machine learning data science computer vision etc
SC1005 Digital Logic,https://www.ntu.edu.sg/pace/programmes/detail/cz1105-digital-logic,Introduction This course provides an introductory perspective of digital circuits design It is relevant for anyone pursuing a career in the ICT industry including those in digital systems computer architecture and microprocessor based systems design This course is credit bearing and stack able to Specialist Certificate in Foundations of Computer Science,This course introduces digital logic which underlies the fundamental operations and structures upon which modern computers are built,Topics covered include but not limited to binary integers and arithmetic Boolean Variables and Logic Combinatorial circuits Implementation technologies Digital design using hardware description languages Sequential circuits Sequential circuits to building blocks Finite state machines In general the topics will be delivered as a series of lectures with complementary tutorials and lab sessions and self learning materials
SC1013 Physics for Computing,https://www.ntu.edu.sg/pace/programmes/detail/sc1013-physics-for-computing,Introduction This course aims to show the fundamental role of physics in building up computing systems and computer applications You will be exposed to various selected physics topics Optics Electrics Electronics and Magnetism with which many useful physics computing systems have been developed and changed our daily life This course serves you as an introductory general education course to encourage you for interdisciplinary thinking and exploration This course is credit bearing and stack able to Specialist Certificate in Foundations of Computer Science 2,This course introduces physics used in computing systems at an elementary level Upon the successful completion of this course you shall be able to Explain basic knowledge definitions principles and techniques of all the selected topics Identify the contribution of physics in some computing systems Discuss the interdisciplinary nature of many innovative systems Reflect the importance and the recent progress of Physics to prepare to propose novel physics computing systems in the future,Introduction what is physics and why physics Optics and Applications NFC Electricity and Magnetism E EG Electrical Potential Electronics Semiconductor
SGUP-CT - Salesforce Career Kickstarter Programme,https://www.ntu.edu.sg/pace/programmes/detail/sgup-ct---salesforce-career-kickstarter-programme,Introduction The Sales force Career Kick starter Programme is specially curate d by the team in Sales force in collaboration with NTU to provide trainees with a holistic curriculum leading to a wide range of career options with Sales force and our ecosystem,There are 3 main components that trainees will go through Admin Track The Sales force Admin Track will provide you with an understanding of what s possible with the Sales force platform its specific applications and their business values and benefits You will be given an overview of the Sales force Clouds and how they integrate and interconnect By learning the features and processes of the platform you will be able to more effectively support day to day Sales force business operations within your organization Developer Track This comprehensive hands on course is a must for new application developers or developers who are new to Sales force Participants will learn how to use the declarative clicks not code capabilities of the Lightning platform to create custom applications and customize existing applications Build your knowledge of objects fields UI customization automation tools security app deployment and more Marketing Cloud Track This class is designed for email digital marketers or anyone who aspires to be a digital marketer who manage the email channel for their organization Whether you are new to Marketing Cloud or looking for tips on how to improve your existing customer journeys this class is a great place to start No prior knowledge of Marketing Cloud is needed,Month 1 1 Sales force Fundamentals for Business Administration Specialists (BSX101) 24 hrs 2 Reporting Strategies for Business Analysts (BSX201) 24 hrs 3 Critical Thinking for Innovation in Enterprises 16 hrs Month 2 4 Administrative Essentials for New Admins in Lightning Experience (ADX201) 40 hrs 5 Certification Preparation for Administrator (CRT101) 8 hrs 6 Design Thinking for Problem Solving and Innovation Achieve Breakthrough Solutions 16 hrs Month 3 7 Declarative Development for Platform App Builders in Lightning Experience (DEX403) 40 hrs 8 Certification Preparation for Platform App Builder (CRT403) 8 hrs 9 Product Management (NTU) 16 hrs Month 4 10 Marketing Cloud Essentials for the New Marketing Specialist (MKT101) 40 hrs 11 Intelligent Automation (NTU) 8 hrs 12 Data and Information Sources in Analytics (NTU) 16 hrs Month 5 13 Administration Essentials for Experienced Admins in Lightning Experience (ADX211) 32 hrs 14 Desktop I: Fundamentals Tableau 16 hrs 15 Desktop II: Intermediate Tableau 16 hrs Month 6 16 Marketing Cloud Connect Essentials (MCC201) 32 hrs 17 Preparing for your Sales force Certified Marketing Cloud Consultant Exam (CRT550) 8 hrs 18 Digital Marketing Content Creation for Marketing (NTU) 16 hrs 19 Creativity thru Design Thinking Skills in the Digital Economy (NTU) 8 hrs
STEMIE Invention Professional Development for Pre-U Educators,https://www.ntu.edu.sg/pace/programmes/detail/stemie-invention-professional-development-for-pre-u-educators,Introduction We are attempting to educate students today so that they will be ready to solve future problems that have not yet been identified using technologies not yet invented based on scientific knowledge not yet discovered -J.J. Lago w ski IDE Academy believes that all children should have invented at least once better yet twice during their school careers Students learn to solve real world problems through STEMIE invention and entrepreneurship program to prepare them for the future workforce They develop the habits of an inventor the mindset and spirit of an entrepreneur the 21 st century skills This 3 days course prepares school educators to conduct the STEMIE invention curriculum It teaches the STEMIE 7 step framework which recognizes STEM core subject matter in combination with invention and entrepreneurship learning There is no prior technical engineering or startup skills required During the course educators will experience the journey from innovator to entrepreneur engage in hands on activities to make connections using simple STEM concepts to become confident STEMIE invention educators,At the end of the course educators will be able to 1 Connect STEM foundational skills with invention education to develop a strong problem solving mindset 2 Apply the 7 steps of STEMIE invention process 3 Teach and engage students of diverse abilities with the localised STEMIE curriculum 4 Introduce and develop mindset and spirit of entrepreneurship to students 5 Experience the journey from inventor to entrepreneur,Day 1:STEMIE Invention Process 1 Why teach invention education to children a Understand the goals and philosophy of STEMIE. b Learn the differences between Making Coding and Invention Movements 2 Learn and apply the 7 Stages of STEMIE invention a Learn the value of re engineering in innovation b Use SCAMPER as a tool for brainstorming and idea tion c Identify the steps in STEMIE invention 3 What are the habits of an innovator 4 Identify the importance of an invention log a What is the purpose of an invention log b How to organize your invention log Day 2 Conduct STEMIE curriculum 1 Introducing STEMIE into your school a How to organize the school program b How to setup the classroom for invention education 2 Introducing the STEMIE lesson plans a Understand the format and contents of the STEMIE lesson plans b Objectives of fac il it at or notes in lesson plans c Making connections with core subject matter 3 Planning your lessons a How to facilitate STEMIE lessons b Classroom Management tips c Select appropriate activities for learners 4 Conducting your lessons a Watch a demonstration of a STEMIE lesson b Prepare your lesson plans c Conduct a lesson d Making connections with core STEM subjects Day 3 From innovator to entrepreneur 1 Understand the importance of entrepreneurship for inventors a Learn how an inventor is firstly an entrepreneur 2 What are the underlying principles of entrepreneurship a Identify the spirit and mindset of the entrepreneurial inventor 3 Educators embark on the journey from invention to entrepreneur a Using simple STEM concepts take on the role of an entrepreneurial inventor 4 Conducting STEMIE lesson plans on entrepreneurship
Smart Optical Sensors for Smart Manufacturing (I4.0),https://www.ntu.edu.sg/pace/programmes/detail/smart-optical-sensors-for-smart-manufacturing-(i4.0),Introduction Additive layer Manufacturing (ALM) or 3D printing has garnered significant worldwide attention in the recent years and is increasingly being implemented in the industries as one of the pillars of 4 th industrial revolution This short course will introduce the importance of 3D printing and also educate the potential roles played by new generation lasers to 3D printing landscape It also highlight the potential of laser technology in fabricating fully functional 3D component directly The course also details laser assisted one dimensional 2 dimensional and 3 diem ns ional machining This course is suitable for all level of participants who are keen to gain overall understanding of the 4 th industrial revolution impact of potential 3 D printing techniques and role of lasers in them how the laser assisted machining going to impact the new machining and manufacturing industry,1 Understand the potential role played by lasers in 3D printing 2 Exposure to the underlying principle behind laser assisted manufacturing 3 Give basic understanding of involved optics in 3D printing and multi dimensional machining 4 Give overall impact of Laser assisted machining and 3D printing in 4 th industrial revolution,1 Intro to Lasers 2 Basic Optics for 3D Printing and Manufacturing 3 Laser based 3D Printing and impact in 4 th industrial revolution 4 Multi Dimensional Laser Assisted Manufacturing 5 Advanced 3D Manufacturing Micro and Nano scale Patterning 6 Impact in industry
Statistics for Undergraduate Studies,https://www.ntu.edu.sg/pace/programmes/detail/statistics-for-undergraduate-studies,Introduction This statistics course is meant for all students who intend to pursue an undergraduate study as well as for those who need a foundation in statistics in their works Certificate of Completion will be issued basing on given criteria Please take all five online tests (MCQ) and score 100 each,Students who successfully complete this course will be able to understand the relevant statistics concepts needed for an undergraduate studies or able to apply the basic statistics concepts and techniques in their works,Describing data with graphs Describing data with numerical measures Describing bi variate data Probability and probability distributions Several useful discrete distributions Introduction The normal probability distribution Sampling distributions Large sample estimation Large sample test of hypotheses Inference from small samples The analysis of variance Linear regression and correlation Multiple regression analysis Analysis of categorical data Non parametric statistics
Strategic Operations Leadership,https://www.ntu.edu.sg/pace/programmes/detail/strategic-operations-leadership,Introduction The dynamic and globally competitive nature of the business environment requires operations leaders to align their efforts for effective business strategy execution,At the end of this programme participants will be able to 1 Align operations improvements with business strategy to support growth 2 Build strategic thinking into operations excellence efforts 3 Appreciate the contemporary challenges that operations leaders need to deal within dynamic environment 4 Understand current strategies for improved operations competitiveness The program will be conducted through the use of a combination of mini focus case discussions and opportunities for participants to apply strategic tools to their operations context The goal being to get participants to start thinking evaluating and setting strategic priorities for their organization operations functions,Key topics covered 1 Strategy and operations management linkage 2 Contemporary operations challenges in VUCA environment Volatile Uncertain Complex and Ambiguous 3 Strategic operations capabilities improvement through process management 4 Operations performance measurement and evaluation in line with strategy 5 Strategic cost management for manufacturing competitiveness 6 Operations risk management 7 Operations talent management for strategy execution
Strategic Thinking & Dynamic Management,https://www.ntu.edu.sg/pace/programmes/detail/strategic-thinking-dynamic-management,Introduction Globally competitive business environments require leaders at all levels to think strategically Effective business strategies require input from managers that are close to real business issues Middle managers need to effectively lead their operations and deliver results under conditions of uncertainty and change Traditional management methods assume a static environment and fail to provide approaches required for todays dynamic environment This program aims to fill this gap,At the conclusion of this workshop participants will know how to 1 Developing a strategic mindset and thinking skills 2 Defining your contribution to business strategy 3 Developing practical strategies that align with business goals 4 Managing implementation and delivering results 5 Managing performance in a dynamic business environment,1 Developing the strategic mindset and strategic thinking capabilities 2 Understanding the link between functions and their contribution to business success 3 Developing a medium term functional strategic plan 4 Developing practical strategies that align with higher level business goals 5 Managing implementation to deliver results in a timely manner 6 Managing performance under uncertain and dynamic business conditions
TI6003 Introduction to Interpretation,https://www.ntu.edu.sg/pace/programmes/detail/ti6003-introduction-to-interpretation,Introduction This course aims to prepare students for the intensive training before the immersion programme introducing various modes of interlingua l interpreting including liaison consecutive interpreting simultaneous interpreting and public service interpreting Students will acquire basic interpreting skills as well as academic knowledge of interpretation studies Topics to be covered include theories of interpretation the code of conduct the role of the interpreter and essential skills of interpretation such as sight translation note taking and shadowing The course is part of Graduate Certificate in Translation and Bilingualism Mini Master sTM in Translation and Bilingualism,Develop versatility and confidence in the use of language and enhance public speaking skills Develop a set of essential interpretation skills with a focus on consecutive interpretation Improve listening skills comprehension and oral expression in different communicative settings Increase intercultural awareness Form reflective practice habits Articulate the strengths and weakness of their own performance and further to propose and implement a plan for improvement Develop suitable strategies for the difficulties encountered in the process of interpretation Develop a personal note taking system Have the awareness of professional issues and ethics in the profession,Week 1 Introduction to different modes of interpretation Week 2 Basic skills of interpretation Monolingual exercises Week 3 Basic skills of interpretation Interlingua l Exercises Week 4 Consecutive Interpretation without note taking Week 5 Note taking techniques I Week 6 Note taking techniques II Week 7 C-E consecutive interpretation Week 8 E-C consecutive interpretation Week 9 Mini mock conference
TI6102 Audiovisual Translation,https://www.ntu.edu.sg/pace/programmes/detail/ti6102-audiovisual-translation,"Introduction Being a specialised branch of translation studies AVT is a blooming area not only in industry but also in academic research This course introduces students to the theory and practice of an emerging discipline audiovisual translation (AVT), which can be further divided into three main subjects Subtitling Translating for Voiceover and Dubbing and Accessibility to the Media Working in groups students will take turns leading discussions on the translation issues of a given assignment and a chosen topic of interest During the process students will develop professional translation skills and improve their language awareness and cultural understanding",gain essential knowledge of subtitling dubbing and voiceover and accessibility to the media develop hands on translation skills in the context of A VT acquire a good understanding of the mechanics of subtitling increase intercultural and language awareness articulate the pros and cons of different translation options and further to justify their own translation choices have an up to date understanding of recent research as well as professional issues and ethics in the profession,Week 1 Introduction to AVT: Multi modality Week 2 Subtitling for the Hearing A 1 Week 3 Dubbing D1 A 2 Week 4 Voice over D2 A 3 Week 5 P5 D 3 Week 6 Audio Description P1 A 4 Week 7 P2 D 4 Week 8 Subtitling for the Deaf and Hard of Hearing P3 A 5 Week 9 P4 D5 Course Review
TI6103 English-Chinese Contrastive Analysis & Translation,https://www.ntu.edu.sg/pace/programmes/detail/ti6103-english-chinese-contrastive-analysis-translation,Introduction This course serves as a strong foundation for subsequent translation training as well as further research in the field of translation Students will be equipped with prerequisite knowledge of translation studies The knowledge acquired from this course will enhance students linguistic knowledge essential for translation and interpretation The course is part of Graduate Certificate in Translation and Bilingualism Mini Master sTM in Translation and Bilingualism,identify the typo logical differences between the Chinese and English languages illustrate the syntactic features of the inner structures of words and phrases and sentence constructions of the two languages from translation perspective demonstrate how semantic meanings of words phrases clauses and sentences in the two languages are built and how the differences influence translation distinguish the rhetorical devices normally applied to the use of the two languages and discuss translation challenges and strategies use the linguistic norms and standards to compare the pragmatic use of the two languages and propose translation strategies apply linguistic knowledge to the learning and teaching of Chinese and English from translation per spec t iv,Week 1 Contrastive morphology le xico logy and translation I Week 2 Contrastive morphology le xico logy and translation II Week 3 Contrastive syntax and translation I Week 4 Contrastive syntax and translation II Week 5 Contrastive semantics and translation I Week 6 Contrastive semantics and translation II Week 7 Contrastive pragmatics and translation I Week 8 Contrastive pragmatics and translation II Week 9 Contrastive rhetoric I Week 10 Contrastive rhetoric II Week 11 Project work and presentation Week 12 Project work and presentation Week 13 Course review
"TI6109 Bilingualism, Cross-cultural Communication, and Translation",https://www.ntu.edu.sg/pace/programmes/detail/ti6109-bilingualism-cross-cultural-communication-and-translation,Introduction This course aims to lead students to explore the rapidly growing area of linguistics bilingualism and its relationship with cross cultural communication and translation especially in the context of Singapore Topics include issues central to the phenomenon of bilingualism and cross cultural communication such as bilingual language acquisition cognitive and social effects of bilingualism trans lang u aging and transnational liter a cie s bi literacy assessment and evaluation The implications of the above issues on translation studies and practice will be discussed as well The course is part of Graduate Certificate in Translation and Bilingualism Mini Master sTM in Translation and Bilingualism,describe the phenomenon of bilingualism and cross cultural communication in Singapore from translators and interpreters perspectives examine the psycho linguistic socio cultural and socio political effects of bilingualism assess bi literacy competence from a translation perspective determine the cross cultural communication issues in relationship to translation studies have the awareness of the role effects and limitations of cross cultural communication,Week 1 Introduction to bilingualism and cross cultural communication Week 2 Bilingual first language acquisition and bilingual second language acquisition Week 3 Psycho linguistic effects of bilingualism Week 4 Socio cultural and socio political effects of bilingualism Week 5 The availability of a concept in one language and its cod ability in another Week 6 Trans lang u aging and transnational liter a cie s Week 7 Bi literacy development and translation skills Week 8 Bilingual proficiency and translation competence Week 9 Code switching and code mixing in a multilingual context
TI6110 Applied Translation (I): A Grammatical Approach to the Learning of Translation Skills,https://www.ntu.edu.sg/pace/programmes/detail/ti6110-applied-translation-(i)-a-grammatical-approach-to-the-learning-of-translation-skills,Introduction This course will provide students an opportunity to have a review of the grammatical rules and sentence structures of Chinese and English and conduct a contrastive analysis of the similarities and differences in sentence structures between English and Chinese After the review and analysis students will learn how to apply grammatical knowledge to the learning of translation skills Hands on exercises will be provided for students to identify and explain the grammatical hierarchies in Chinese and English Students will also learn to evaluate the qualities and differences of various target texts (TT) in comparison with the source texts (ST). For practice English and Chinese are given equal emphasis in terms of source language (SL) and target language TL The course is part of Graduate Certificate in Translation and Bilingualism Mini Master sTM in Translation and Bilingualism,Identify grammatical features of English and Chinese in respect of translation Comprehend the source text correctly in application of grammatical knowledge Administer appropriate translation skills in rendering a source text into an appropriate corresponding target text Evaluate English Chinese Chinese English translations with a contrastive analysis of the source and target texts,Week 1 Tenses and translation Week 2 Attributive clauses and translation Week 3 Adverbial clauses and translation Week 4 Nominal clauses and translation Week 5 The passive voice and translation
TI6111 Applied Translation (II): A Lexical Semantic Approach to the Learning of Translation Skills,https://www.ntu.edu.sg/pace/programmes/detail/ti6111-applied-translation-(ii)-a-lexical-semantic-approach-to-the-learning-of-translation-skills,Introduction This course will provide students an opportunity to have a review of word meaning construction of Chinese and English and conduct a contrastive analysis of the similarities and differences in lexical meanings of different types of words between English and Chinese After the review and analysis students will learn how to apply lexical semantic knowledge to the learning of translation skills Hands on exercises will be provided for students to identify and explain the lexical semantic differences in Chinese and English Students will also learn to evaluate the qualities and differences of various target texts (TT) in comparison with the source texts (ST). For practice English and Chinese are given equal emphasis in terms of source language (SL) and target language TL The course is part of Graduate Certificate in Translation and Bilingualism Mini Master sTM in Translation and Bilingualism,Conduct contrastive analysis of Chinese and English meaning constructions of lexical words Apply lexical semantic knowledge to the learning of translation skills Illustrate lexical semantic differences between Chinese and English that affect choices of translation strategies,Week 1 Introduction to lexical semantics Week 2 Poly se my ambiguity and vagueness Week 3 Synonym y and near synonym y and antony my Week 4 From lexical semantics to other aspects of meaning Week 5 Presentation course overview
TI6112 Applied Translation (III): A Cultural Approach to the Learning of Translation Skills,https://www.ntu.edu.sg/pace/programmes/detail/ti6112-applied-translation-(iii)-a-cultural-approach-to-the-learning-of-translation-skills,Introduction This course will provide students an opportunity to have a review of the grammatical rules and sentence structures of Chinese and English and conduct a contrastive analysis of the similarities and differences in sentence structures between English and Chinese After the review and analysis students will learn how to apply grammatical knowledge to the learning of translation skills Hands on exercises will be provided for students to identify and explain the grammatical hierarchies in Chinese and English Students will also learn to evaluate the qualities and differences of various target texts (TT) in comparison with the source texts (ST). For practice English and Chinese are given equal emphasis in terms of source language (SL) and target language (TL). The course is part of Graduate Certificate in Translation and Bilingualism Mini Master sTM in Translation and Bilingualism,Conduct contrastive analysis of the cultural preferences in the use of words and styles of writing in Chinese and English Take a cultural perspective to explain cultural elements embedded in language use Apply essential principles and techniques to the translation of Chinese and Western cultures Assess the effect and quality of translation with the consideration of choices of translation strategies for translating culture specific texts,Week 1 Introduction to cultural translation Week 2 Translation of culture specific words and expressions Week 3 Translation of cultural discourse Week 4 Translation of stylistic features Week 5 Presentation course overview
TI6113 Creative Writing and Literature Translation,https://www.ntu.edu.sg/pace/programmes/detail/ti6113-creative-writing-and-literature-translation,Introduction Literary translation is a specialised field of translation The practice of literary translation must be as clearly rooted in creative writing and literary studies as it is in translation In the course students will be led through an extended consideration of what separates literary translation from more utilitarian translations and learn to both analyse and produce literary works The course will equip students to approach their work creatively armed with solid reading practices and the ability to think beyond the literal meaning of a work and to see more nuanced implications that are deeply embedded in the cultural system in which the work has been produced The course is part of Graduate Certificate in Translation and Bilingualism Mini Master sTM in Translation and Bilingualism,Identify the literary aspects of a text that are most crucial to creating its meaning Explain the key differences in how these elements are treated in Chinese vs English literature Produce a literary text in the target language that will replicate the effects of the source text Prior it is e the elements of a literary text that go into creating its meaning and determine how they can be carried over in translation Identify and relate to the target audience of the original text and its corresponding audience in translation,Week 1 The Translating Poet what makes a literary text and a literary translation Week 2 Presentation and Stylistic s an examination of the ways a text is presented differently in Chinese than it is in English Week 3 The Treatment of Time and Space how different language systems relate differently to time and space Week 4 Translating Humour Metaphor and Wordplay a hands on interactive session focused on translating some of literatures trickiest aspects Week 5 Reading Poetry Translating Poetry a hands on session exploring what makes a poem work and how to capture that in translation
TI6205 Community Translation & Interpretation,https://www.ntu.edu.sg/pace/programmes/detail/ti6205-community-translation-interpretation,Introduction This course aims to provide students training in community translation and interpreting Students will learn how to apply bilingual and multilingual knowledge to develop their specialised translation and interpreting skills for the preparation of providing social and community services which typically include social services for children youth and families elderly and disabled people and new immigrants in need of help for community integration due to language and cultural barriers The practice will focus on recognising types and needs of translation interpretation services by different local communities producing target texts in styles appropriate to specific groups and communities identifying translation interpreting strategies and assessing appropriateness in relation to the target audience as well as facilitating both written and oral communication between public services and community members By the end of the course students will be able to perform as a bilingual professional specialised in providing translation and interpreting services to local community members The course is part of Graduate Certificate in Translation and Bilingualism Mini Master sTM in Translation and Bilingualism,Recognise the types and needs of translation interpretation services by different communities Identify translation interpreting strategies and assess appropriateness in relation to the target audience Produce target texts in styles appropriate to specific groups and communities Develop the ability in facilitating both written and oral communication between public services and community members,Week 1 Types and Standards of Community Interpreting Services Week 2 Community Interpreting Strategies Week 3 Translation and interpretation services in Chinese medical treatment I Week 4 Translation and interpretation services in Chinese medical treatment I Week 5 Bilingual descriptions in local museums and libraries Week 6 Contextual knowledge for Interpretation in Singapore Week 7 Parliament Interpreting Week 8 Court Interpreting Week 9 Community services Translating and interpreting for immigration families seniors and foreign workers
Tolerance Stackup and Analysis in Mechanical Design,https://www.ntu.edu.sg/pace/programmes/detail/tolerance-stackup-and-analysis-in-mechanical-design,Introduction Mechanical designs can be complex involving numerous parts and sub assemblies In the manufacture of these parts and sub assemblies they are subjected to variation Hence a better understanding of their form fit and function is vital For better clarity and quality acceptance more firms are now specifying their engineering drawings using GD&T symbols so as to better control its geometric and functional characteristics Tolerance stack up methods are then used to ensure that the cumulative effects of these tolerances are acceptable to the functional aspects in a sub assembly In this course a disciplined tolerance stack up and analysis approach would be applied on engineering part assemblies subject to different and multiple GD&T specifications,1 To be able to identify determine and ascertain the degree and variation of fit about a particular design assembly 2 To learn and follow the principles and methodologies in evaluating design tolerances through a disciplined approach 3 To Assess tolerance stickup approaches on GD&T specified parts for application proficiency Underpinning Knowledge 1 General Tolerance Concepts 2 Types of Fit Systems 3 Tolerance Analysis Methods 4 Statistical Sampling and Tolerance Setting in Tolerance Stack up and Analysis 5 Statistical Stack up Methods Tolerance d Based Analysis Computer based Stack To le ranc ing methods 6 Tolerance Allocation Methods 7 Tolerance Analysis and Stack up Concepts with GD&T for Part Stacks 8 Tolerance Analysis and Stack up on Size Limit Transfer for Part and Assembly Stacks 9 Tolerance Analysis and Stack up on Axis Transfer for Part and Assembly Stacks,Day 1 Understand and Use of Tolerance Development Process Methods Day 2 Understand and Use Tolerance Limit Setting for Part Yield Statistical Tolerance Analysis Methods for Manufacturing Process Applications and Sensitivity Analysis methods for Tolerance Optimisation Day 3 Assessment 1 Applying Statistical Stack up Methods Tolerance d Based Analysis Computer based Stack To le ranc ing methods to handle tight tolerances and functional requirements Day 4 Assessment 2 Tolerance Allocation Methods for Design and Processes Tolerance Analysis and Stack up Concepts with GD&T for Part Stacks Day 5 Tolerance Analysis and Stack up on Size Limit Transfer for Part and Assembly Stacks Tolerance Analysis and Stack up on Axis Transfer for Part and Assembly Stacks Revision Discussion and Clarifications Assessment 3
Top AI Skills to Learn - Natural Language Processing (NLP),https://www.ntu.edu.sg/pace/programmes/detail/top-ai-skills-to-learn---natural-language-processing-(nlp),"Introduction Natural language processing (NLP) is one of the most important fields in artificial intelligence (AI). It has become very crucial in the information age because most of the information is in the form of unstructured text NLP technologies are applied everywhere as people communicate mostly in language language translation web search customer support emails forums advertisement radiology reports to name a few There are a number of core NLP tasks and machine learning models behind NLP applications Deep learning has recently brought a paradigm shift from traditional task specific feature engineering to end to end systems and has obtained high performance across many different NLP tasks and downstream applications Tech companies like Google Ali baba Apple Amazon Facebook Tencent and Microsoft are now actively working on deep learning methods to improve their products For example Google replaced their traditional statistical machine translation and speech recognition systems with systems based on deep learning The course provides a thorough introduction to cutting edge methods in deep learning applied to NLP. On the model side we will cover word representations window based neural networks for NLP, recurrent neural networks for NLP, long short term memory models recursive neural networks for parsing convolutional neural networks as well as more advanced topics like encoder decoder models and attention mechanisms",In this course students will learn state of the art deep learning methods for NLP. Through lectures and practical assignments students will learn the necessary tricks for making their models work on practical problems Students will also learn to implement and possibly to invent their own deep learning models using available deep learning libraries like Py torch,1 Introduction to Natural Language Processing 2 Python Tensor flow Basics 3 Machine Learning Basics 4 Neural Network Basics 5 Word Vectors 6 Window based Approach 7 Recurrent Neural Nets for NLP8. Seq 2 Seg Models Machine translation Seq 2 Seg Models with Attentions
